omega_a,omega_c,ta,dic
1.7092961248233358,2.698792364086726,2106.5096057157716,1966.7662728283597
1.6171446511318854,2.5553813551729907,2056.346280373594,1923.9579004600023
1.6348829421174216,2.5777372421533307,2100.421927937918,1966.4711207882553
1.769863602187388,2.7885230373518692,2174.67998522344,2028.8410820453175
1.7584881815866336,2.77022020279146,2159.9484311128017,2014.4371769141678
1.9165041905367264,3.0204229984365605,2269.845310499158,2111.6039837333647
1.8758629955111152,2.956799065770295,2230.611419505334,2074.3991682826295
1.9200886895058826,3.028379549812638,2278.4059861394708,2119.1645643619713
1.95174657904301,3.078462885014505,2275.2901112786135,2112.04678897813
2.0150343203079495,3.1767792583885406,2291.3402292289766,2122.395071035081
2.034215114400882,3.2038220138204303,2266.4173898354843,2094.898982242695
