omega_a,omega_c,ta,dic,ph_tot
nan,nan,nan,nan,nan
1.5872452402355743,2.476287475573412,1969.6264944767725,1834.4159981388077,7.8976993239180215
1.1971322934680104,1.8679920023999539,1659.7253661630969,1554.0101339589066,7.846087191228703
1.1311769235896239,1.7633471768252267,1614.9180092290464,1515.3398870078809,7.824718128294719
1.5513645682091144,2.41520098906034,1973.5567508530962,1843.720859675153,7.8695360326635075
1.2427797509832175,1.9288016632906761,1758.067836453546,1654.635598492774,7.796564222622164
1.5343878509879294,2.3867621435010875,2161.5398854414093,2043.3483957304493,7.811926106508644
nan,nan,nan,nan,7.855478995551416
1.6917550433212678,2.635819688015533,2206.3377317527484,2071.5385069826925,7.862277428369815
1.1953415510786207,1.860828023099912,1749.771834645634,1650.2610975285947,7.801294854824336
1.0640521533551857,1.6571514885983085,1605.512790456122,1514.469720721135,7.789944633343637
1.0555783983479161,1.6434449878357853,1620.20599431382,1531.0461437168356,7.780054537818237
0.9339478809982829,1.45884298434317,1566.2954803126684,1488.5196361637236,7.7623307325091
0.9260578339675791,1.4471067222310254,1501.737076877144,1421.0778940516248,7.782645699966423
1.0263919158079877,1.601599639194335,1517.3876797209061,1425.1996837265604,7.81572644878146
0.954863499388768,1.486523232963108,1441.4447092337366,1355.0806513774053,7.789425857733255
1.0539786435665495,1.6438136515579183,1474.2754868989337,1376.2435692189179,7.839618168467971
1.0295796507286439,1.6037985571180862,1453.4559119887913,1357.6539139964787,7.827257426205883
1.0585639252474452,1.6476073487631662,1419.5001137285067,1318.30686493962,7.846986697400786
1.2669083197416613,1.9667114159981174,1496.9730355529289,1375.556664554396,7.891114527692846
1.22635206599678,1.903314516235356,1433.953673207748,1313.8095943109956,7.895310215378825
1.3201032452916783,2.0536579869853884,1496.9523827312444,1368.2761257934255,7.926535349552042
0.9310349882411922,1.4478662389106698,1262.850072076918,1168.9906258464403,7.836705669659372
1.1361133406652488,1.7684539291646488,1417.5158321580598,1306.6442779843464,7.88211217596234
0.9251164831183118,1.4430155069185169,1326.7557708485208,1236.7598428222605,7.8293203209921804
